SEM,Ordem Venda,Item,OF Embalagem,Código Material,Descrição Material,Acab.,QTD,Total,CT,SERRA/LAM,,TOTAL,OF Lixadora,,TOTAL,BLOCO,,QTD BL.,ESTADO,OBSERVAÇÕES,Cliente
9,3820006951,80,1600036208,70023081,"PL CC 8002/S11 940X640X6,0 02",S11,260,0,,,,0,,,0,70001617,BL CC 8002/000 940X640X250 NE,7.4,,,"PORTOCORK INTERNACIONAL, SA"
9,3820007496,40,1600037992,70001988,"PL CC 8057/PTH 1000X500X4,0 AD",PTH,76,0,CNMLAMPL,1600037993,0.13,0,,,0,70005524,BL CC 8057/ORT 1000X500X210 NE,1.5,,,GÖTZ SERVICE GMBH
9,3823000199,40,1600037591,70004993,"PL CC 8403/000 915X610X11,7 02",0,450,0,CNMLAMPL,1600037592,1.22,0,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,21.6,,,"AMORIM CORK COMPOSITES, INC"
9,3820007312,40,1600036568,70003126,"PL CC 8004/S21 940X640X75,0 01",S21,168,0,CNMSERPL,1600036570,3.06,0,,,0,70005850,BL CC 8004/ORT 940X640X250 NE,57.7,,,"ASIA ALLIANCE INTERNATIONAL CO.,LTD"
9,3820005490,20,1600024213,70001460,"PL CC 8303/PTH 915X610X6,0 01",PTH,52,0,CNMLAMPL,1600024214,0.12,0,,,0,70005504,BL CC 8303/ORT 915X610X250 NE,1.3,,,OTTOBOCK SE & CO KGAA
9,3820007496,70,1600037998,70001991,"PL CC 8057/PTH 1000X500X8,0 AD",PTH,40,0,CNMLAMPL,1600037999,0.11,0,,,0,70005524,BL CC 8057/ORT 1000X500X210 NE,1.6,,,GÖTZ SERVICE GMBH
9,3820007240,50,1600036356,70001580,"PL CC 8004/S11 915X610X10,0 01",S11,360,0,,,,0,,,0,70005498,BL CC 8004/ORT 915X610X250 NE,15.5,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820005748,10,1600026015,70002143,"PL CC 8123/PTH 915X610X6,0 01",PTH,52,0,CNMLAMPL,1600026016,0.12,0,,,0,70005503,BL CC 8123/ORT 915X610X200 NE,1.6,,,PISANA ORTHOPÄDIE TECHNIK GMBH
9,3820007240,10,1600036348,70014032,"PL CC 9426/S11 925X625X6,0 01",S11,208,0,,,,0,,,0,70013448,BL CC 9426/ORT 925X625X200 NE,6.8,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007473,20,1600037621,70015087,"PL CC 8405/S21 940X640X16,5 01",S21,216,0,,,,0,,,0,70005847,BL CC 8405/ORT 940X640X250 NE,15.6,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007496,60,1600037996,70001990,"PL CC 8057/PTH 1000X500X6,0 AD",PTH,52,0,CNMLAMPL,1600037997,0.12,0,,,0,70005524,BL CC 8057/ORT 1000X500X210 NE,1.5,,,GÖTZ SERVICE GMBH
